title,score,platform,date,summary,GPT_answer,Atmosphere,Tags,RecommensationsMovie,RecommensationsBook
The Legend of Zelda: Ocarina of Time,99,Nintendo 64,"November 23, 1998","As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.","/start/Atmosphere:
The atmosphere of The Legend of Zelda: Ocarina of Time is a fantastical adventure through a magical land filled with mythical creatures and ancient ruins. The world is full of wonder, mystery and danger, and the player is tasked with exploring it and uncovering its secrets. The inspiration for the game was to create an epic adventure that would be both captivating and challenging for players.
/end/Atmosphere
/start/Tags:
Adventure, Fantasy, Mythology, Puzzle, Action, Exploration
/end/Tags
/start/RecommensationsMovie:
Labyrinth, The NeverEnding Story, The Dark Crystal, Legend, Willow
/end/RecommensationsMovie
/start/RecommensationsBook:
The Lord of the Rings, Harry Potter, The Chronicles of Narnia, The Hobbit, The Wheel of Time
/end/RecommensationsBook","The atmosphere of The Legend of Zelda: Ocarina of Time is a fantastical adventure through a magical land filled with mythical creatures and ancient ruins. The world is full of wonder, mystery and danger, and the player is tasked with exploring it and uncovering its secrets. The inspiration for the game was to create an epic adventure that would be both captivating and challenging for players.","Adventure, Fantasy, Mythology, Puzzle, Action, Exploration","Labyrinth, The NeverEnding Story, The Dark Crystal, Legend, Willow","The Lord of the Rings, Harry Potter, The Chronicles of Narnia, The Hobbit, The Wheel of Time"
Tony Hawk's Pro Skater 2,98,PlayStation,"September 20, 2000","As most major publishers' development efforts shift to any number of next-generation platforms, Tony Hawk 2 will likely stand as one of the last truly fantastic games to be released on the PlayStation.","/start/Atmosphere:
The atmosphere of Tony Hawk's Pro Skater 2 is fast-paced, energetic and filled with adrenaline-fueled skateboarding action. The game is set in various skateparks and urban environments, and the player is challenged to perform incredible tricks and stunts on their skateboard. The inspiration for the game was to capture the excitement and energy of professional skateboarding and bring it to players in an interactive form.
/end/Atmosphere
/start/Tags:
Skateboarding, Sports, Action, Arcade, Extreme Sports
/end/Tags
/start/RecommensationsMovie:
Lords of Dogtown, Dogtown and Z-Boys, The Evil Dead, Thrashin', Back to the Future
/end/RecommensationsMovie
/start/RecommensationsBook:
None
/end/RecommensationsBook","The atmosphere of Tony Hawk's Pro Skater 2 is fast-paced, energetic and filled with adrenaline-fueled skateboarding action. The game is set in various skateparks and urban environments, and the player is challenged to perform incredible tricks and stunts on their skateboard. The inspiration for the game was to capture the excitement and energy of professional skateboarding and bring it to players in an interactive form.","Skateboarding, Sports, Action, Arcade, Extreme Sports","Lords of Dogtown, Dogtown and Z-Boys, The Evil Dead, Thrashin', Back to the Future",None
Grand Theft Auto IV,98,PlayStation 3,"April 29, 2008","What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't.","/start/Atmosphere:
The atmosphere of Grand Theft Auto IV is a dark and immersive open-world crime drama set in a fictionalized version of New York City. The player takes on the role of a criminal trying to navigate the city's criminal underworld, where they must make choices that affect their relationships with other characters, complete missions, and pursue their own goals. The game is characterized by its adult themes, mature humor, and emphasis on freedom of choice and player agency.
/end/Atmosphere
/start/Tags:
Open-World, Crime, Action, Adventure, Drama
/end/Tags
/start/RecommensationsMovie:
The Godfather, Scarface, Goodfellas, The Departed, Heat
/end/RecommensationsMovie
/start/RecommensationsBook:
American Psycho, The Killing Conscience, The Bonfire of the Vanities, A Clockwork Orange, The Godfather
/end/RecommensationsBook","The atmosphere of Grand Theft Auto IV is a dark and immersive open-world crime drama set in a fictionalized version of New York City. The player takes on the role of a criminal trying to navigate the city's criminal underworld, where they must make choices that affect their relationships with other characters, complete missions, and pursue their own goals. The game is characterized by its adult themes, mature humor, and emphasis on freedom of choice and player agency.","Open-World, Crime, Action, Adventure, Drama","The Godfather, Scarface, Goodfellas, The Departed, Heat","American Psycho, The Killing Conscience, The Bonfire of the Vanities, A Clockwork Orange, The Godfather"
SoulCalibur,98,Dreamcast,"September 8, 1999","This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your head spin!","/start/Atmosphere:
The atmosphere of SoulCalibur is a fantastical world of medieval swordsmanship, where powerful warriors from different cultures and time periods come together to compete in a legendary tournament. The game is set in a lush, colorful and detailed world that is full of action and adventure. The inspiration for the game was to create a rich and immersive fighting game that would appeal to fans of both the fighting and fantasy genres.
/end/Atmosphere
/start/Tags:
Fighting, Fantasy, Medieval, Action, Adventure
/end/Tags
/start/RecommensationsMovie:
The Lord of the Rings, 300, Conan the Barbarian, Willow, Krull
/end/RecommensationsMovie
/start/RecommensationsBook:
The Lord of the Rings, The Wheel of Time, The Chronicles of Narnia, The Hobbit, Harry Potter
/end/RecommensationsBook","The atmosphere of SoulCalibur is a fantastical world of medieval swordsmanship, where powerful warriors from different cultures and time periods come together to compete in a legendary tournament. The game is set in a lush, colorful and detailed world that is full of action and adventure. The inspiration for the game was to create a rich and immersive fighting game that would appeal to fans of both the fighting and fantasy genres.","Fighting, Fantasy, Medieval, Action, Adventure","The Lord of the Rings, 300, Conan the Barbarian, Willow, Krull","The Lord of the Rings, The Wheel of Time, The Chronicles of Narnia, The Hobbit, Harry Potter"
Grand Theft Auto IV,98,Xbox 360,"April 29, 2008","What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't.","/start/Atmosphere:
The atmosphere of Grand Theft Auto IV is a dark and immersive open-world crime drama set in a fictionalized version of New York City. The player takes on the role of a criminal trying to navigate the city's criminal underworld, where they must make choices that affect their relationships with other characters, complete missions, and pursue their own goals. The game is characterized by its adult themes, mature humor, and emphasis on freedom of choice and player agency.
/end/Atmosphere
/start/Tags:
Open-World, Crime, Action, Adventure, Drama
/end/Tags
/start/RecommensationsMovie:
The Godfather, Scarface, Goodfellas, The Departed, Heat
/end/RecommensationsMovie
/start/RecommensationsBook:
American Psycho, The Killing Conscience, The Bonfire of the Vanities, A Clockwork Orange, The Godfather
/end/RecommensationsBook","The atmosphere of Grand Theft Auto IV is a dark and immersive open-world crime drama set in a fictionalized version of New York City. The player takes on the role of a criminal trying to navigate the city's criminal underworld, where they must make choices that affect their relationships with other characters, complete missions, and pursue their own goals. The game is characterized by its adult themes, mature humor, and emphasis on freedom of choice and player agency.","Open-World, Crime, Action, Adventure, Drama","The Godfather, Scarface, Goodfellas, The Departed, Heat","American Psycho, The Killing Conscience, The Bonfire of the Vanities, A Clockwork Orange, The Godfather"
Super Mario Galaxy,97,Wii,"November 12, 2007","The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across the galaxy. Mario, Peach and enemies new and old are here. Players run, jump and battle enemies as they explore all the planets in the galaxy. Since this game makes full use of all the features of the Wii Remote, players have to do all kinds of things to succeed: pressing buttons, swinging the Wii Remote and the Nunchuk, and even pointing at and dragging things with the pointer. Since he's in space, Mario can perform mind-bending jumps unlike anything he's done before. He'll also have a wealth of new moves that are all based around tilting, pointing and shaking the Wii Remote. Shake, tilt and point! Mario takes advantage of all the unique aspects of the Wii Remote and Nunchuk controller, unleashing new moves as players shake the controller and even point at and drag items with the pointer.","/start/Atmosphere:
The atmosphere of Super Mario Galaxy is a whimsical and imaginative world of outer space, where Mario must save Princess Peach from the clutches of the evil Bowser. The game is set in a vibrant and colorful universe full of planets and galaxies to explore, each with its own unique challenges and obstacles. The inspiration for the game was to create a Mario game that would take full advantage of the Wii's unique control capabilities and bring the Mario series into the third dimension.
/end/Atmosphere
/start/Tags:
Platformer, Adventure, Action, Fantasy, Science Fiction
/end/Tags
/start/RecommensationsMovie:
Willy Wonka and the Chocolate Factory, The NeverEnding Story, Labyrinth, Toy Story, Alice in Wonderland
/end/RecommensationsMovie
/start/RecommensationsBook:
The Magician's Nephew, The Lion, the Witch, and the Wardrobe, Alice in Wonderland, Charlie and the Chocolate Factory, The Phantom Tollbooth
/end/RecommensationsBook","The atmosphere of Super Mario Galaxy is a whimsical and imaginative world of outer space, where Mario must save Princess Peach from the clutches of the evil Bowser. The game is set in a vibrant and colorful universe full of planets and galaxies to explore, each with its own unique challenges and obstacles. The inspiration for the game was to create a Mario game that would take full advantage of the Wii's unique control capabilities and bring the Mario series into the third dimension.","Platformer, Adventure, Action, Fantasy, Science Fiction","Willy Wonka and the Chocolate Factory, The NeverEnding Story, Labyrinth, Toy Story, Alice in Wonderland","The Magician's Nephew, The Lion, the Witch, and the Wardrobe, Alice in Wonderland, Charlie and the Chocolate Factory, The Phantom Tollbooth"
Super Mario Galaxy 2,97,Wii,"May 23, 2010","Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back at enemies. Players can also have fun with new items such as a drill that lets our hero tunnel through solid rock.","/start/Atmosphere:
The atmosphere of Super Mario Galaxy 2 is similar to that of its predecessor, with a whimsical and imaginative world of outer space and an emphasis on exploring vibrant and colorful planets and galaxies. The player once again takes on the role of Mario as he sets out to save Princess Peach from the clutches of Bowser. Like the first game, Super Mario Galaxy 2 aims to create a fun and engaging platformer that takes full advantage of the Wii's unique control capabilities.
/end/Atmosphere
/start/Tags:
Platformer, Adventure, Action, Fantasy, Science Fiction
/end/Tags
/start/RecommensationsMovie:
Willy Wonka and the Chocolate Factory, The NeverEnding Story, Labyrinth, Toy Story, Alice in Wonderland
/end/RecommensationsMovie
/start/RecommensationsBook:
The Magician's Nephew, The Lion, the Witch, and the Wardrobe, Alice in Wonderland, Charlie and the Chocolate Factory, The Phantom Tollbooth
/end/RecommensationsBook","The atmosphere of Super Mario Galaxy 2 is similar to that of its predecessor, with a whimsical and imaginative world of outer space and an emphasis on exploring vibrant and colorful planets and galaxies. The player once again takes on the role of Mario as he sets out to save Princess Peach from the clutches of Bowser. Like the first game, Super Mario Galaxy 2 aims to create a fun and engaging platformer that takes full advantage of the Wii's unique control capabilities.","Platformer, Adventure, Action, Fantasy, Science Fiction","Willy Wonka and the Chocolate Factory, The NeverEnding Story, Labyrinth, Toy Story, Alice in Wonderland","The Magician's Nephew, The Lion, the Witch, and the Wardrobe, Alice in Wonderland, Charlie and the Chocolate Factory, The Phantom Tollbooth"
Red Dead Redemption 2,97,Xbox One,"October 26, 2018","Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him.","/start/Atmosphere:
The atmosphere of Red Dead Redemption 2 is a harsh and unforgiving frontier world of the American Old West, where the player takes on the role of Arthur Morgan, a notorious outlaw and member of the Van der Linde gang. The game is set in a vast and detailed open world that is full of dangerous wildlife, hostile factions, and unpredictable events. The inspiration for the game was to create a realistic and immersive western experience that would capture the feel and spirit of the genre.
/end/Atmosphere
/start/Tags:
Action, Adventure, Open World, Western, Historical
/end/Tags
/start/RecommensationsMovie:
The Good, the Bad, and the Ugly, Unforgiven, Tombstone, The Lone Ranger, True Grit
/end/RecommensationsMovie
/start/RecommensationsBook:
The Sacketts, The Lone Star Ranger, The Virginian, The Riders of the Purple Sage, Lonesome Dove
/end/RecommensationsBook","The atmosphere of Red Dead Redemption 2 is a harsh and unforgiving frontier world of the American Old West, where the player takes on the role of Arthur Morgan, a notorious outlaw and member of the Van der Linde gang. The game is set in a vast and detailed open world that is full of dangerous wildlife, hostile factions, and unpredictable events. The inspiration for the game was to create a realistic and immersive western experience that would capture the feel and spirit of the genre.","Action, Adventure, Open World, Western, Historical","The Good, the Bad, and the Ugly, Unforgiven, Tombstone, The Lone Ranger, True Grit","The Sacketts, The Lone Star Ranger, The Virginian, The Riders of the Purple Sage, Lonesome Dove"
Grand Theft Auto V,97,Xbox One,"November 18, 2014","Grand Theft Auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists, playing all sides of the game's interwoven story.","/start/Atmosphere:
The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.
/end/Atmosphere
/start/Tags:
Action, Adventure, Open World, Crime, Sandbox
/end/Tags
/start/RecommensationsMovie:
The Godfather, Goodfellas, Scarface, The Sopranos, Heat,
/end/RecommensationsMovie
/start/RecommensationsBook:
American Psycho, The Godfather, Wiseguy, Casino, Snuff
/end/RecommensationsBook","The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.","Action, Adventure, Open World, Crime, Sandbox","The Godfather, Goodfellas, Scarface, The Sopranos, Heat,","American Psycho, The Godfather, Wiseguy, Casino, Snuff"
Grand Theft Auto V,97,PlayStation 3,"September 17, 2013","Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success:  Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Quickly running out of options, the crew risks it all in a sequence of daring and dangerous heists that could set them up for life.","/start/Atmosphere:
The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.
/end/Atmosphere
/start/Tags:
Action, Adventure, Open World, Crime, Sandbox
/end/Tags
/start/RecommensationsMovie:
The Godfather, Goodfellas, Scarface, The Sopranos, Heat,
/end/RecommensationsMovie
/start/RecommensationsBook:
American Psycho, The Godfather, Wiseguy, Casino, Snuff
/end/RecommensationsBook","The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.","Action, Adventure, Open World, Crime, Sandbox","The Godfather, Goodfellas, Scarface, The Sopranos, Heat,","American Psycho, The Godfather, Wiseguy, Casino, Snuff"
Disco Elysium: The Final Cut,97,PC,"March 30, 2021","Disco Elysium - The Final Cut is the definitive edition of the smash-hit RPG. Pursue your political dreams in new quests, meet and question more of the city's locals, and explore a whole extra area. Full voice-acting, controller support, and expanded language options also included. Get even more out of this award-winning open world. You're a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders, or take bribes. Become a hero or an absolute disaster of a human being.","/start/Atmosphere:
The atmosphere of Disco Elysium: The Final Cut is a dark and brooding neo-noir world set in the fictional city of Revachol, where the player takes on the role of a detective tasked with solving a murder case. The game is a narrative-driven RPG that is characterized by its deep and immersive storytelling, detailed character development, and mature themes. The inspiration for the game was to create a unique and thought-provoking experience that would challenge players' perceptions of what a role-playing game could be.
/end/Atmosphere
/start/Tags:
RPG, Detective, Noir, Narrative, Mature Themes
/end/Tags
/start/RecommensationsMovie:
Chinatown, Blade Runner, Double Indemnity, L.A. Confidential, Memento
/end/RecommensationsMovie
/start/RecommensationsBook:
The Big Sleep, Farewell My Lovely, The Maltese Falcon, The Long Goodbye, Red Harvest
/end/RecommensationsBook","The atmosphere of Disco Elysium: The Final Cut is a dark and brooding neo-noir world set in the fictional city of Revachol, where the player takes on the role of a detective tasked with solving a murder case. The game is a narrative-driven RPG that is characterized by its deep and immersive storytelling, detailed character development, and mature themes. The inspiration for the game was to create a unique and thought-provoking experience that would challenge players' perceptions of what a role-playing game could be.","RPG, Detective, Noir, Narrative, Mature Themes","Chinatown, Blade Runner, Double Indemnity, L.A. Confidential, Memento","The Big Sleep, Farewell My Lovely, The Maltese Falcon, The Long Goodbye, Red Harvest"
Grand Theft Auto V,97,Xbox 360,"September 17, 2013","Los Santos is a sprawling sun-soaked metropolis full of self-help gurus, starlets and once-important stars. The city was once the envy of the Western world, but is now struggling to stay relevant in an era of economic uncertainty and reality TV. Amidst the chaos, three very different criminals chart their own chances of survival and success:  Franklin, a former street gangster, now looking for real opportunities and fat stacks of cash; Michael, a professional ex-con whose retirement is significantly less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Rapidly running out of options, the crew risks everything in a series of bolt and dangerous heists that could set them up for the long haul.","/start/Atmosphere:
The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.
/end/Atmosphere
/start/Tags:
Action, Adventure, Open World, Crime, Sandbox
/end/Tags
/start/RecommensationsMovie:
The Godfather, Goodfellas, Scarface, The Sopranos, Heat,
/end/RecommensationsMovie
/start/RecommensationsBook:
American Psycho, The Godfather, Wiseguy, Casino, Snuff
/end/RecommensationsBook","The atmosphere of Grand Theft Auto V is a sprawling and dynamic open-world city of Los Santos, where the player takes on the role of three distinct characters, each with their own motivations and criminal endeavors. The game is set in a modern-day fictional version of Southern California, and features a vast and detailed world filled with opportunities for exploration, mischief, and mayhem. The inspiration for the game was to create a sandbox experience that would allow players to experience the thrill of criminal life and freedom to do as they please within the constraints of the game's fiction.","Action, Adventure, Open World, Crime, Sandbox","The Godfather, Goodfellas, Scarface, The Sopranos, Heat,","American Psycho, The Godfather, Wiseguy, Casino, Snuff"
Tony Hawk's Pro Skater 2,97,Dreamcast,"November 6, 2000","Hawk's back - with new technology, new pros and new tricks! THPS2, the legend rides on! Skate as legendary Tony Hawk or any one of 12 other pro skaters. Create your own custom skaters. Multiple play modes including 1-Player, Career and Free Skate modes, as well as 2-player modes such as Trick Attack, Graffiti Tag and Horse. Build your own custom skate parks with the real-time 3D park editor.","/start/Atmosphere:
The atmosphere of Tony Hawk's Pro Skater 2 is fast-paced, energetic and filled with adrenaline-fueled skateboarding action. The game is set in various skateparks and urban environments, and the player is challenged to perform incredible tricks and stunts on their skateboard. The inspiration for the game was to capture the excitement and energy of professional skateboarding and bring it to players in an interactive form.
/end/Atmosphere
/start/Tags:
Skateboarding, Sports, Action, Arcade, Extreme Sports
/end/Tags
/start/RecommensationsMovie:
Lords of Dogtown, Dogtown and Z-Boys, The Evil Dead, Thrashin', Back to the Future
/end/RecommensationsMovie
/start/RecommensationsBook:
None
/end/RecommensationsBook","The atmosphere of Tony Hawk's Pro Skater 2 is fast-paced, energetic and filled with adrenaline-fueled skateboarding action. The game is set in various skateparks and urban environments, and the player is challenged to perform incredible tricks and stunts on their skateboard. The inspiration for the game was to capture the excitement and energy of professional skateboarding and bring it to players in an interactive form.","Skateboarding, Sports, Action, Arcade, Extreme Sports","Lords of Dogtown, Dogtown and Z-Boys, The Evil Dead, Thrashin', Back to the Future",None
The Legend of Zelda: Breath of the Wild,97,Switch,"March 3, 2017","Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure.*    Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier.*    Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.*    amiibo compatibility - Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in game. Wolf Link will attack enemies on his own and help you find items you're searching for.","/start/Atmosphere:
The atmosphere of The Legend of Zelda: Breath of the Wild is a large, open-world filled with adventure and discovery. The player takes on the role of Link as he sets out to explore the vast and diverse world of Hyrule, filled with ancient ruins, magical creatures, and treacherous enemies. The game is known for its stunning landscapes, diverse biomes, and a sense of freedom that allows players to approach challenges and puzzles in their own way. The inspiration for the game was to create a modern-day version of classic Zelda games that would be accessible to players of all ages and backgrounds.
/end/Atmosphere
/start/Tags:
Action-Adventure, Open World, Exploration, Puzzle-solving
/end/Tags
/start/RecommensationsMovie:
The NeverEnding Story, Labyrinth, Willow, The Lord of the Rings, The Princess Bride
/end/RecommensationsMovie
/start/RecommensationsBook:
The Lord of the Rings, The Hobbit, The Chronicles of Narnia, Harry Potter, The Wheel of Time
/end/RecommensationsBook","The atmosphere of The Legend of Zelda: Breath of the Wild is a large, open-world filled with adventure and discovery. The player takes on the role of Link as he sets out to explore the vast and diverse world of Hyrule, filled with ancient ruins, magical creatures, and treacherous enemies. The game is known for its stunning landscapes, diverse biomes, and a sense of freedom that allows players to approach challenges and puzzles in their own way. The inspiration for the game was to create a modern-day version of classic Zelda games that would be accessible to players of all ages and backgrounds.","Action-Adventure, Open World, Exploration, Puzzle-solving","The NeverEnding Story, Labyrinth, Willow, The Lord of the Rings, The Princess Bride","The Lord of the Rings, The Hobbit, The Chronicles of Narnia, Harry Potter, The Wheel of Time"
Tony Hawk's Pro Skater 3,97,PlayStation 2,"October 28, 2001",Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes.,"/start/Atmosphere:
The atmosphere of Tony Hawk's Pro Skater 3 is a fast-paced, adrenaline-fueled world of skateboarding, where the player takes on the role of a professional skateboarder, competing against other skaters in various challenges and competitions. The game is characterized by its smooth, intuitive controls, high-flying tricks, and a powerful soundtrack that keeps players engaged and pumped up. The inspiration for the game was to create a skateboarding game that was both fun and challenging, and that would appeal to both hardcore and casual gamers alike.
/end/Atmosphere
/start/Tags:
Skateboarding, Sports, Trick-Based, Music, Competition
/end/Tags
/start/RecommensationsMovie:
Lords of Dogtown, Dogtown and Z-Boys, The Skateboard Kid, Airborne, Thrashin'
/end/RecommensationsMovie
/start/RecommensationsBook:
None
/end/RecommensationsBook","The atmosphere of Tony Hawk's Pro Skater 3 is a fast-paced, adrenaline-fueled world of skateboarding, where the player takes on the role of a professional skateboarder, competing against other skaters in various challenges and competitions. The game is characterized by its smooth, intuitive controls, high-flying tricks, and a powerful soundtrack that keeps players engaged and pumped up. The inspiration for the game was to create a skateboarding game that was both fun and challenging, and that would appeal to both hardcore and casual gamers alike.","Skateboarding, Sports, Trick-Based, Music, Competition","Lords of Dogtown, Dogtown and Z-Boys, The Skateboard Kid, Airborne, Thrashin'",None
